日期,商户,金额,收支,备注
2026-06-08 09:00,公司工资,6800,收入,六月工资到账
2026-06-08 10:00,房东-六月房租,2100,支出,固定住房
2026-06-13 15:00,万达影院,75,支出,周末电影
2026-06-14 19:00,城市餐厅,180,支出,周末聚餐
2026-06-20 16:00,线下书店,90,支出,周末阅读
2026-06-22 08:20,地铁月票,120,支出,通勤
2026-07-06 09:00,公司工资,6800,收入,七月工资到账
2026-07-06 10:00,房东-七月房租,2100,支出,固定住房
2026-07-11 14:30,独立咖啡馆,78,支出,周末咖啡
2026-07-11 20:00,音乐节门票,360,支出,周末娱乐
2026-07-12 13:00,城市餐厅,260,支出,周末聚餐
2026-07-12 17:00,文创商场,420,支出,周末购物
2026-07-18 15:00,万达影院,85,支出,周末电影
2026-07-19 19:00,剧本杀,168,支出,周末娱乐
2026-07-21 08:20,地铁月票,120,支出,通勤
